"id","transect","block","site_status"
"GS002",1,1,"Native"
"GS003",1,1,"Native"
"GS004",1,1,"Native"
"GS005",1,1,"Native"
"GS006",1,1,"Native"
"GS007",1,1,"Native"
"GS025",1,2,"Native"
"GS026",1,2,"Native"
"GS027",1,2,"Native"
"GS039",1,3,"Native"
"GS040",1,3,"Native"
"GS041",1,3,"Native"
"GS042",1,3,"Native"
"GS043",1,3,"Native"
"GS044",1,3,"Native"
"GS045",1,3,"Native"
"GS046",1,3,"Native"
"GS047",1,3,"Native"
"GS056",2,1,"Native"
"GS057",2,1,"Native"
"GS058",2,1,"Native"
"GS059",2,1,"Native"
"GS076",2,2,"Native"
"GS077",2,2,"Native"
"GS089",2,3,"Native"
"GS090",2,3,"Native"
"GS091",2,2,"Native"
"GS092",2,2,"Native"
"GS093",2,2,"Native"
"GS094",2,2,"Native"
"GS095",2,2,"Native"
"GS096",2,2,"Native"
"GS097",2,2,"Native"
"GS122",3,1,"Native"
"GS123",3,1,"Native"
"GS124",3,1,"Native"
"GS132",3,2,"Native"
"GS133",3,2,"Native"
"GS134",3,2,"Native"
"GS135",3,2,"Native"
"GS136",3,2,"Native"
"GS161",3,3,"Native"
"GS162",3,3,"Native"
"GS163",3,3,"Native"
"GS164",3,3,"Native"
"GS165",3,3,"Native"
"GS166",3,3,"Native"
"GS167",3,3,"Native"
"GS170",4,1,"Native"
"GS171",4,1,"Native"
"GS172",4,1,"Native"
"GS173",4,1,"Native"
"GS174",4,1,"Native"
"GS175",4,1,"Native"
"GS176",4,1,"Native"
"GS177",4,1,"Native"
"GS178",4,1,"Native"
"GS190",4,2,"Native"
"GS191",4,2,"Native"
"GS192",4,2,"Native"
"GS193",4,2,"Native"
"GS194",4,2,"Native"
"GS195",4,2,"Native"
"GS196",4,2,"Native"
"GS197",4,2,"Native"
"GS198",4,2,"Native"
"GS213",4,3,"Native"
"GS214",4,3,"Native"
"GS215",4,3,"Native"
"GS216",4,3,"Native"
"GS217",4,3,"Native"
"GS218",4,3,"Native"
"GS219",4,3,"Native"
"GS220",4,3,"Native"
"GS221",4,3,"Native"
"GS222",4,3,"Native"
"GS223",4,3,"Native"
"GS224",4,3,"Native"
"GS225",4,3,"Native"
"GS253",5,2,"Native"
"GS254",5,2,"Native"
"GS255",5,2,"Native"
"GS256",5,2,"Native"
"GS257",5,2,"Native"
"GS267",5,3,"Native"
"GS268",5,3,"Native"
"GS284",6,1,"Ginger"
"GS285",6,1,"Ginger"
"GS286",6,1,"Ginger"
"GS287",6,1,"Ginger"
"GS288",6,1,"Ginger"
"GS289",6,1,"Ginger"
"GS296",6,2,"Ginger"
"GS297",6,2,"Ginger"
"GS298",6,2,"Ginger"
"GS299",6,2,"Ginger"
"GS305",6,3,"Ginger"
"GS306",6,3,"Ginger"
"GS314",7,1,"Ginger"
"GS315",7,1,"Ginger"
"GS316",7,1,"Ginger"
"GS317",7,1,"Ginger"
"GS318",7,1,"Ginger"
"GS319",7,1,"Ginger"
"GS320",7,1,"Ginger"
"GS333",7,2,"Ginger"
"GS334",7,2,"Ginger"
"GS335",7,2,"Ginger"
"GS336",7,2,"Ginger"
"GS337",7,2,"Ginger"
"GS338",7,2,"Ginger"
"GS339",7,2,"Ginger"
"GS340",7,2,"Ginger"
"GS341",7,2,"Ginger"
"GS356",7,3,"Ginger"
"GS357",7,3,"Ginger"
"GS358",7,3,"Ginger"
"GS359",7,3,"Ginger"
"GS360",7,3,"Ginger"
"GS361",7,3,"Ginger"
"GS373",8,1,"Ginger"
"GS374",8,1,"Ginger"
"GS388",8,2,"Ginger"
"GS389",8,2,"Ginger"
"GS390",8,2,"Ginger"
"GS391",8,2,"Ginger"
"GS392",8,2,"Ginger"
"GS401",8,3,"Ginger"
"GS402",8,3,"Ginger"
"GS403",8,3,"Ginger"
"GS404",8,3,"Ginger"
"GS405",8,3,"Ginger"
"GS410",9,1,"Ginger"
"GS411",9,1,"Ginger"
"GS412",9,1,"Ginger"
"GS413",9,1,"Ginger"
"GS422",9,2,"Ginger"
"GS423",9,2,"Ginger"
"GS424",9,2,"Ginger"
"GS432",9,3,"Ginger"
"GS433",9,3,"Ginger"
"GS434",9,3,"Ginger"
"GS450",10,1,"Ginger"
"GS451",10,1,"Ginger"
"GS452",10,1,"Ginger"
"GS453",10,1,"Ginger"
"GS454",10,1,"Ginger"
"GS455",10,1,"Ginger"
"GS470",10,2,"Ginger"
"GS471",10,2,"Ginger"
"GS472",10,2,"Ginger"
"GS473",10,2,"Ginger"
"GS474",10,2,"Ginger"
"GS475",10,2,"Ginger"
"GS476",10,2,"Ginger"
"GS477",10,2,"Ginger"
"GS478",10,2,"Ginger"
"GS479",10,2,"Ginger"
"GS497",10,3,"Ginger"
"GS498",10,3,"Ginger"
"GS499",10,3,"Ginger"
"GS500",10,3,"Ginger"
"GS501",10,3,"Ginger"
"GS502",10,3,"Ginger"
"GS503",10,3,"Ginger"
"GS504",10,3,"Ginger"
"GS505",10,3,"Ginger"
"GS506",10,3,"Ginger"
